dteday,season,yr,mnth,hr,holiday,day_name,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,total_count,holiday_in_workingday,weekend
2011-01-01,Spring,2011,Jan,0,False,Sat,False,1,0.24,0.2879,0.81,0.0,3,13,16,False,True
2011-01-01,Spring,2011,Jan,1,False,Sat,False,1,0.22,0.2727,0.8,0.0,8,32,40,False,True
2011-01-01,Spring,2011,Jan,2,False,Sat,False,1,0.22,0.2727,0.8,0.0,5,27,32,False,True
2011-01-01,Spring,2011,Jan,3,False,Sat,False,1,0.24,0.2879,0.75,0.0,3,10,13,False,True
2011-01-01,Spring,2011,Jan,4,False,Sat,False,1,0.24,0.2879,0.75,0.0,0,1,1,False,True
2011-01-01,Spring,2011,Jan,5,False,Sat,False,2,0.24,0.2576,0.75,0.0896,0,1,1,False,True
2011-01-01,Spring,2011,Jan,6,False,Sat,False,1,0.22,0.2727,0.8,0.0,2,0,2,False,True
2011-01-01,Spring,2011,Jan,7,False,Sat,False,1,0.2,0.2576,0.86,0.0,1,2,3,False,True
2011-01-01,Spring,2011,Jan,8,False,Sat,False,1,0.24,0.2879,0.75,0.0,1,7,8,False,True
2011-01-01,Spring,2011,Jan,9,False,Sat,False,1,0.32,0.3485,0.76,0.0,8,6,14,False,True
2011-01-01,Spring,2011,Jan,10,False,Sat,False,1,0.38,0.3939,0.76,0.2537,12,24,36,False,True
2011-01-01,Spring,2011,Jan,11,False,Sat,False,1,0.36,0.3333,0.81,0.2836,26,30,56,False,True
2011-01-01,Spring,2011,Jan,12,False,Sat,False,1,0.42,0.4242,0.77,0.2836,29,55,84,False,True
2011-01-01,Spring,2011,Jan,13,False,Sat,False,2,0.46,0.4545,0.72,0.2985,47,47,94,False,True
2011-01-01,Spring,2011,Jan,14,False,Sat,False,2,0.46,0.4545,0.72,0.2836,35,71,106,False,True
2011-01-01,Spring,2011,Jan,15,False,Sat,False,2,0.44,0.4394,0.77,0.2985,40,70,110,False,True
2011-01-01,Spring,2011,Jan,16,False,Sat,False,2,0.42,0.4242,0.82,0.2985,41,52,93,False,True
2011-01-01,Spring,2011,Jan,17,False,Sat,False,2,0.44,0.4394,0.82,0.2836,15,52,67,False,True
2011-01-01,Spring,2011,Jan,18,False,Sat,False,3,0.42,0.4242,0.88,0.2537,9,26,35,False,True
2011-01-01,Spring,2011,Jan,19,False,Sat,False,3,0.42,0.4242,0.88,0.2537,6,31,37,False,True
2011-01-01,Spring,2011,Jan,20,False,Sat,False,2,0.4,0.4091,0.87,0.2537,11,25,36,False,True
2011-01-01,Spring,2011,Jan,21,False,Sat,False,2,0.4,0.4091,0.87,0.194,3,31,34,False,True
2011-01-01,Spring,2011,Jan,22,False,Sat,False,2,0.4,0.4091,0.94,0.2239,11,17,28,False,True
2011-01-01,Spring,2011,Jan,23,False,Sat,False,2,0.46,0.4545,0.88,0.2985,15,24,39,False,True
2011-01-02,Spring,2011,Jan,0,False,Sun,False,2,0.46,0.4545,0.88,0.2985,4,13,17,False,True
2011-01-02,Spring,2011,Jan,1,False,Sun,False,2,0.44,0.4394,0.94,0.2537,1,16,17,False,True
2011-01-02,Spring,2011,Jan,2,False,Sun,False,2,0.42,0.4242,1.0,0.2836,1,8,9,False,True
2011-01-02,Spring,2011,Jan,3,False,Sun,False,2,0.46,0.4545,0.94,0.194,2,4,6,False,True
2011-01-02,Spring,2011,Jan,4,False,Sun,False,2,0.46,0.4545,0.94,0.194,2,1,3,False,True
2011-01-02,Spring,2011,Jan,6,False,Sun,False,3,0.42,0.4242,0.77,0.2985,0,2,2,False,True
2011-01-02,Spring,2011,Jan,7,False,Sun,False,2,0.4,0.4091,0.76,0.194,0,1,1,False,True
2011-01-02,Spring,2011,Jan,8,False,Sun,False,3,0.4,0.4091,0.71,0.2239,0,8,8,False,True
2011-01-02,Spring,2011,Jan,9,False,Sun,False,2,0.38,0.3939,0.76,0.2239,1,19,20,False,True
2011-01-02,Spring,2011,Jan,10,False,Sun,False,2,0.36,0.3485,0.81,0.2239,7,46,53,False,True
2011-01-02,Spring,2011,Jan,11,False,Sun,False,2,0.36,0.3333,0.71,0.2537,16,54,70,False,True
2011-01-02,Spring,2011,Jan,12,False,Sun,False,2,0.36,0.3333,0.66,0.2985,20,73,93,False,True
2011-01-02,Spring,2011,Jan,13,False,Sun,False,2,0.36,0.3485,0.66,0.1343,11,64,75,False,True
2011-01-02,Spring,2011,Jan,14,False,Sun,False,3,0.36,0.3485,0.76,0.194,4,55,59,False,True
2011-01-02,Spring,2011,Jan,15,False,Sun,False,3,0.34,0.3333,0.81,0.1642,19,55,74,False,True
